@RELATION Planes2D

@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE target NUMERIC

@DATA
-1,1,-1,0,-1,0,0,0,1,0,-5.893038621456044
-1,0,0,1,-1,1,0,0,1,-1,-4.430907496365853
-1,0,-1,-1,-1,1,1,-1,0,1,-2.7818281866394177
-1,1,-1,0,0,1,-1,0,-1,1,-0.975711321512982
-1,0,0,-1,0,1,1,-1,-1,1,1.980615719523246
-1,1,0,1,1,1,0,1,1,-1,1.9071379743439154
1,0,1,0,1,0,1,-1,0,-1,4.959916209699011
-1,0,1,1,1,1,0,-1,0,1,0.9829505886078971
-1,-1,1,0,0,0,1,-1,0,-1,-2.698216923723438
1,1,-1,-1,1,-1,-1,-1,1,1,4.812240235280839
-1,0,1,0,1,0,0,0,1,1,-1.2526156417057661
1,1,1,-1,1,1,-1,0,-1,0,5.97765831865871
1,1,1,-1,1,0,0,0,0,0,8.246346640051803
1,0,1,-1,-1,1,-1,1,1,-1,4.0124106296890085
-1,1,0,-1,1,-1,-1,-1,0,-1,-2.978837482200521
1,-1,1,-1,0,0,-1,-1,-1,0,0.18766561504854473
-1,1,0,1,1,0,0,1,0,0,-0.21575264676039912
1,0,0,-1,0,-1,0,1,1,-1,2.0358818111662327
1,-1,-1,-1,0,-1,-1,1,-1,0,-3.4236927702650255
-1,1,1,1,0,-1,1,1,-1,0,-5.444985846850596
1,1,1,0,-1,1,0,-1,-1,-1,7.313907810551654
1,0,1,-1,0,1,0,-1,-1,1,5.854829443683774
-1,1,-1,1,0,-1,1,1,1,-1,-4.66480396086029
-1,1,1,0,1,-1,0,-1,1,0,-1.3595467867476216
1,1,0,-1,0,1,0,0,-1,-1,5.2708467099729575
-1,0,0,-1,0,1,-1,0,1,0,-1.150962677829782
1,1,-1,-1,1,-1,-1,-1,-1,-1,3.5866318497305767
1,1,1,0,0,0,0,-1,0,-1,7.63279936042907
1,-1,1,1,-1,0,-1,0,-1,0,4.174674169051434
-1,0,-1,1,1,0,-1,1,1,-1,-2.312850897813301
-1,0,0,0,1,1,-1,0,0,-1,1.4322836278733873
-1,1,1,-1,-1,0,-1,-1,-1,-1,-8.825091348872187
1,-1,-1,0,-1,1,-1,-1,1,-1,-4.373976042499185
1,1,0,1,0,0,-1,-1,1,0,8.025490541919961
-1,-1,-1,0,1,1,0,0,0,0,1.7072583065650142
1,1,0,-1,0,-1,1,1,1,0,5.21677676282233
1,0,-1,1,-1,0,-1,-1,0,-1,2.184230537852231
1,-1,1,1,1,0,-1,0,0,-1,2.6083435755079227
1,-1,0,1,0,-1,0,-1,1,1,-0.18387296310453194
-1,-1,-1,-1,0,-1,0,1,-1,1,-5.641046154601576
-1,-1,1,-1,0,0,0,0,-1,-1,-4.780189278262927
-1,1,1,-1,-1,-1,-1,0,0,-1,-9.015990719304348
1,-1,-1,-1,1,1,-1,0,1,1,-1.4002083662125315
-1,-1,0,0,1,-1,-1,1,1,-1,-4.055855772152118
1,-1,1,0,0,1,0,1,0,1,1.0391863615119121
1,-1,0,0,-1,1,0,1,-1,-1,0.2902425737582941
1,1,-1,1,-1,-1,0,0,0,1,3.8806048407826803
-1,0,-1,-1,1,0,1,1,0,1,1.8017163399076892
-1,-1,0,0,1,0,-1,1,0,0,-3.024129581482185
1,1,-1,-1,-1,1,1,0,-1,1,2.192590281449105
-1,0,0,1,0,1,0,-1,1,1,-1.114532756482227
-1,1,1,1,0,-1,-1,0,0,-1,-7.338855796208161
-1,0,1,0,1,1,0,0,1,-1,-1.092021475671141
-1,0,1,-1,0,1,-1,-1,1,1,-2.881966516807165
-1,0,-1,0,0,0,-1,0,0,-1,-4.83139030332298
-1,-1,0,1,1,0,-1,1,0,0,-1.8046867112897917
-1,0,1,1,-1,-1,1,0,1,-1,-4.361240519673413
-1,0,-1,-1,0,-1,1,-1,0,0,-3.482725366946538
1,1,0,-1,1,0,0,0,-1,-1,4.111847848202855
1,-1,-1,-1,1,1,-1,1,0,1,-3.421650930347301
-1,-1,1,0,1,0,0,1,1,0,0.04782340108635971
-1,0,1,0,0,0,1,0,0,1,-2.883127386514726
1,-1,1,0,0,-1,1,-1,0,1,0.3146592029970945
-1,0,1,1,0,1,1,0,1,-1,-1.1950158376658704
1,1,1,1,-1,0,1,-1,1,0,6.670646308740514
1,1,1,1,1,1,-1,0,1,-1,7.731859859802665
1,1,-1,0,1,1,-1,1,0,0,4.971340420984122
-1,0,0,1,0,1,1,0,-1,0,-1.405071560187406
1,0,-1,0,1,-1,0,1,-1,1,0.679735906282231
-1,1,0,-1,-1,1,1,-1,1,-1,-3.205046232993628
1,1,1,0,1,0,-1,1,-1,-1,8.597263482080997
-1,1,1,1,0,0,1,1,1,-1,-2.5197589229725503
-1,0,1,1,1,1,0,0,1,1,2.1439099268973654
-1,0,0,1,0,1,-1,0,1,1,-0.7248509108448697
-1,1,-1,1,0,0,0,-1,0,-1,-1.5421733729200535
1,1,1,-1,1,0,0,1,-1,-1,7.714628711852916
-1,1,0,0,0,0,-1,-1,1,-1,-4.1680207731752175
-1,-1,0,0,0,-1,-1,-1,-1,1,-6.837187787639317
-1,-1,1,-1,0,1,1,1,1,0,-1.0467118108941604
-1,1,1,-1,-1,-1,0,-1,0,0,-6.405292838738743
1,-1,-1,-1,0,0,1,1,0,-1,-3.73702078674404
1,1,-1,-1,-1,-1,-1,-1,0,0,3.2308145281362846
1,1,0,-1,0,-1,1,-1,-1,-1,3.447268254143818
-1,1,0,0,-1,-1,0,1,0,-1,-6.669986352178056
-1,1,-1,1,-1,-1,0,-1,0,-1,-7.567540512711438
